Tweet,Class
"هلا يا جمهور كفا كفووووو كفوووووووو حقد و غيره و حسد على احلام اش فيها تبوس اعز، صديقتها عادي جدا تلاعبها كبنوته و الله خبث منكم  تنتهكون حرمتها و لا اروع من احلام  حاقدين عليها لانها ارقا منكم انا راح ادعمها بكل ثروتي",N
اميلها ملكا  هيا سميت نفسها ملكا,N
هاذه كذابه لو حافضه القران ماكان تغني,N
الله يشافيه مريضه,P
احلام ملكه,N
جنهة بومة عابت 😁😁😁😁😁😁😁😁😁😁,P
بلله يامبارك   تحب احلام,N
خبله باينه من تصرفاتها ام الكنتاكي ههههههه,P
نص مقطع كذاب أحلام نسانه محترمه,N
شاركت فوق خشمك,N
,N
فنانت العرب احلام علا عين الحسود😜😜😜,N
بس لان كل حكيها صح انت مدايقين,N
شو ماعندكن شغلة غير احلام الله ياخدكن شعب بموت على التمسخر والشماتة ببعض,N
"مو نمسا بالتركي 
بالتركي اويودو يعني نام 
الترجمة مالتهم غلط اني مترجم تركماني في تركيا من اصل عراقي",N
يلههههههوي حافظة القرأن,N
هههههههههههههههههههههههه خرب حضي,N
بدي اقول للفنانه أحلام على قد مو ناجحه مشغلا بال الكل الكل تارك اشغالو وعم يدور ع شي كلمه يحكيها صح مثل ما قالت مقهورين,N
فعلا مثل ما قالت الفنانه أحلام ما في مطربة اسمها شمس,N
احلام عفوية وطيبة واحسن من اي شخص وسخ بحكي عليها كلمة وسخة,P
,N
,N
,P
,N
"أحلام  شهرتها ليس بسبب فنها ولكن بسبب خرووجها عن النص ونشاطها في مواقع التواصل واستهبالها  زي الخليل كوميدي في مصر وغيره أقصد الشهره السلبية
هذه المخلوقة لديها مشكلة نفسية مع الحياة أو ما يسمى شبع من بعد فقر
هذه المخلوقة هتكت عرض الفن والأخلاق وحتى الزمالة الفنية
استغرب ان لديها جمهور وهذه المشكلة إذا كانو يشبوهنها أخلاقيا  !!!!!فالمجتمع العربي يعاني من مشاكل وليست مشكلة",N
اني صراحة كنت أكره أحلام بس أحس متغيرة هذي اليام,N
مكروه احلام,P
مشكلة الفنانين المصريين ولبنانيين انهم يعتقدو انهم نخبة الفن العربي واي فن عربي اخر هو مستوي ثاني مايعرفو يحترمو حدا مثلا المصربين العرب ما يعترفو بالراي مع انو الراي اشهر غناء عربي لو رحت اوربا وسالتهم عن الشاب خالد يعرفوه ولو سالت عن فنان عربي اخر نادر ما يعرفوه....,N
اللهم إني أسألك العفو والعافية في الدنيا والآخرة,N
"بصراحة يا أخي الكريم ، للاسف ٩٧٪ من الاعلام العربي اعلام موجه ورخيص ومخجل ومافي احترافية ويستخف بعقل المشاهد وللاسف كثير من المشاهدين غير مدركين لهدف الرسالة التي يقدمها الاعلام العربي وهي مدفوعة التكلفة اصلا من جهات يهمها ان تظل المشاهد وهو الشعب مخدرا ومنوما وما يصحي ابدا ولا يعي.",N
تسلم ضحكة حسن الشافعي,N
بتحكي شامي دخيل الله ههههه,N
احلاااااام بكرهككككك,P
"اول شي صحيح لو تساوت الاذواق لبارت السلع ،،،ولكن اتعجب من هذا الزمان اللي ماعندهم اذان موسيقية او كما يقال سميعة شنو احلام شنو راغب كلهم اصوات نشاز وموسيقى نشاز هل تريدون تعرفون من هم الاصوات الحلوة ،،ام كلثوم اسمهان عبدالوهاب فريد عبد الحليم فاءزة وردة هدى سلطان سيد مكاوي فيروز ناظم الغزالي رياض احمد يوسف عمر وووالخ ومن الجيل الجديد فقط اصالة فقط لان صوتها وقوته لامثيل له الان انا اتكلم كسميع ليس كباقي الناس مع احترامي لذوقهم ولكن ليسو بسميعة اي هوسة وضجيج فقط ،،ولا انسا زهور حسين وياس خضر وسعدي وداخل حسن وعوض دوخي والسوري العملاق ابو كلثوم صباح فخري وانتم اتحدى اي واحد منكم أن ينتقد هاؤلاء حتى لو لايحبهم لانو هم مدارس لن تتكرر وبالاخير هل تعلمون ما هو اجمل صوت في العالم انه صوت عبد الباسط قارء القراءن الكريم الله اراده هكذا لانه كلام الله فلا يعلا عليه ،،،انا قصدي كدراسة سمعية مو على كيفك وكيفي وانا انسان بسيط بس اتوقع انا سميع",N
هذي احلام مشاركه وانت ماتستحي كل هذي غيره وحسد,N
بعد تحلف بالله اكذب امرأة على وجه الأرض,P
احبك احالام,N
بلا كزب لجذب المنافقين امثال صاحب القناة وهذا دليل على نجاح احلام,P
هناك تعليق بيقول احلام مسخره لا تخلوها في اراب ايدول 4 بالعكس سبيل نجاح اراب ايدول هوا احلام ومن غيرها البرنامج زيرو انا شخصيا بحبها قوي,N
و رديت مرة ثانية 😂,N
بدأ الموسم وانت تقول لن تستطيع 😂,N
هههههههههههههههههههههه,N
فين هوا المشكل ملكة عن جدارة واستحقاق 😘😘😘😘😘😘😘😘😘😘😘,N
ههههههههه,N
هههههه ولا حدا عاجبها,N
بيعجبني شيئ واحد باحلام انها صريحة و مابتخاف من حدا بنوب غير من الله,N
يخخخخخخخخ,N
"احلام صريحه وعفويه وملكه بجد ليه كلكون بتحاربوها لو نانسي او هيفا محد حارربها 
تحياتي للملكه احلام",N
من لبنان تحية للملكة وفنانة العرب احلام,N
أحلام فنانه طيبه علي نيتها وبتساعد الناس وانا بحبها علشان علي طبيعيتها,N
أحلى مليكة 😚😚😚😚😚😚😚😚😚😚😚😚😚😚😚😚😚,N
الى هذه الدرجة انتم تموتون من المرى,N
احلام انتي ليش الناس ماتحبك لين محترمه الناس ايحبون مثل اليسا وهيفاء ومريام فارس,N
ألو,N
خلي تولي لا شارك خلي يخلون واحد عراقي مثلن ماجد المهندس حاتم العراقي والله احسن من هاي,N
علساس انتي هسه فنانه انتي داكوكه وبس,P
صحيح اختلط السياسه بالفن واصبح انت مع مين وعلى هذ الاساس تختتار فنانك .. بصراحه سوف يتحول الشباب على الفن الغربي بسبب غباء وكبرت الفنانين عنده ومن الملاحظ اختفاء الاغنيه السنويه.. يعنه كل سنه كانت تطلع اغنيه او كتر اترن وتنتشر بالوطن العربي من جمال الكلمات والاحان...للخ اليوم ولا اغنيه من عدة سنوات حازت على اعجاب الوطن العربي ..,N
والله يعالم احلام طيبه ومحترمه عايشه على النيه شوف ننسي تفكرساعه قبل ماتتكلم  الإعلام البنانين فاشل وقذر وزباله وأولهم نظام الأحمدية وكل لبنان تعرف هذا الشيء احلام جايه من صحراء قاحله الي انتم تعرفوا قيمتها لهذي الصحراء احلام ملكه بصرحتها وهي انسانه لازم تقلط يعني انتم متكاملين ما بتقلطوا اسألوا أنفسكم هل نحن مانقلط مستحيل احلام فنانه محترمه وجمهرها أكبر من الي يسبوها انا الي قهرني انتم ليش تسبوها وش دخلكم بالحرمة عندها عيالها وزوجها ومش سأله عليكم وخلوا الحمقات,P
"احلام هذي ماعندها غير الجللد

كفو والله",P
,N
,N
,N
,N
ما شاء الله عليك يا أخي ربنا يبارك فيك,N
عندها حق كل الاسالة لي طرحوها الصحافة زفت,N
احلام كوني صامدا انا من الجزاير واشجعك لا تدعيهم يدمرونك,N
جد شمس ماعند ولا غنية تنسمة هية نشهرت من ورة احلام,N
فيديو فاشل,N
شكرا😅😅👍,N
هههههههه😂😂😂👌,N
غثييييييثة لأبعد حد ...,P
هههههههههههههههههههه,N
نقطة ضعف احلام هي شعبيتها المبالغ ما تعرف التمثيل صريحه زياده عن اللزوم ياريت تشوف وتقرا تعليقي انت نيتك صافيه بس الناس ما تقدر فعليك اشويه بالتصرف الاصطناعي ما يصير امام الجمهور تتصرفين  مثلما تتصرفين ببيتك لكل كلام مكانو وزمانو يا بنتي الحياة مدرسه دروسها التجارب فبعد الان لازم تعرفين بعد ما تكر رين الخطاء,N
مع احترامي للبرامج ما الها معنى و مش بالمستوى المطلوووب,N
"فعلا كلامك صح 100%
للاسف ما حدا ماكلها غير هالشعب المعتر",N
ههههههههه منيح متحملك زوجك 👀,N
ههههههههه اخ يا قلبي والله نهفة احلام,N
"عنجد ما بعرف احلام عندها انفصام 
في تناقد 😵😵
كل ساعة شي",N
"فعلا مش بنفوذها ومالها و شكلها 
الملوكية بالاخلاق و الاحترام وبس",N
ana bahabike ktire inti malikate molouke habibti ahlame,N
"أنا غير ممكن ان أتصور عرب ايدول من غير احلام 
عنجد يصير كتير جامد و ما حلو 
حبيبتنا احلام هي مشعله البرنامج بحلاوة روحها و خفة دمها ♡♡♡",N
احلام لم تعد ملكه تم ازالة هاذا القب من شعب الامارات و ايضا من اتصال لزوجة حاكم دبي الشيخ محمد بن راشد المكتوم   التي هي من امرت قناه ابو ظبي بازالة برنامج ذا كوين  و احلام قطعت عن الانستا و قالت انا حواصل حياتي حتى بعد ازالة القب,N
انتم على كلامكم هدا عن هذه المراة. تهدولها حسناتكم. على طبق اتقو لله وخليكم.من الغيبة. و فضح الناس,N
احبج يا احلام الورده مال كل للفنانات,N
انا الكويتي عدنان قاسم ..شزينها الاغاني المحبوبة الفنانة احلام ...اما شمس مايندره عنها متى هيا اطلعت ..حتى اسمها شمس موحلو .ههههاي .,N
مادري مخبله وله مادري شسميهه الله يشفيهه,P
"احلام فنانة العرب ، تحية الها",N
ختولي الشاركت برنامج ولما شركت ماكو غيره,N
احلام فنانه محترمه ... وشمس من اسوا فنانه,N
ياليت انها ماتشترك نبغا نتابع البرنامج ولو شاركت احلام والله ما نتابع,N
الله يشفي كل مريض  فيه كرسي شاغر في شهار ارى حجزه للطقاقة أفلام .,N
نانسي  حلوه,N
نانسي,N
مع نفسها عبيطه جداً,P
"البرنامج بدون كبير ماله قيمه 

احلام قيمه وتاريخ وتواجدها بالبرنامج زاد البرنامج",N
روعةة,N
انا ما تعجبني احلام,N
ما احبها,N
هههه احلام خليفة معمر القذافى الله يرحم و يغفر له,N
كل مابتقدو فيكي بنحبك اكتر ياملكه ع فكره كل الاضواء عليكي السنه نجاحك ياملكه صار اكبر المعجبين,N
انا معك يا احلام ملكة الغناء الخليجي مافي اجمل من صوتك,N
شمس احلام وكل الفنانيين تبرعو بكل فلوسكم للفقراء وتوبو الى الله,N
السوده الزركه,P
والله انها اتخوف العيال,N
"بسراحه انا ما اغار من احلام ليش اصلا اتغارون من احلام اذا كان صوتها حلو ندرب علشان يكون صوتنا حلو وذا كنت تحسدونها على اموالها تذكرو يا اخواتي و اخواني ان الغناء بالمال لا ياسوي الغناء بالقلب ان كان قلبك غنيا بالايمان اصبحة تشع بايمانك والله اني يا احلام احبك وانا اعلم ان قلبكي رائع وصوتك رائع لكن انا ما احب الاغاني و المسيقى ونصيحه للمغنيات انكم ما تسو عمليات تجميل لان الجمال لا يكون بالوجه او اجسم و غيرها الجمال الحقيقي هو القلب ان كان قلبك غنيا اصبحة غنيا بالايمان 
وسلام عليكم",N
انتي صوتك مراه يعني الله يغسلك ما بين النسوان حافظه القران وبصلي صدقتك عبد الباسط ليش ما بتحجبي وكيلو مكياج وبظلط  وبا,N
يبغون الشهرة  بمجرد ذكر احلام,N
ياااااشيخه اتقى ربك,N
انا بحبك يا احلام بحببببببكككككككك,N
أحلام طيبة جداا,N
روحو شوفو فضائح الفنانات المصريات والسوريات ..ليش مخلين بالكم مع احﻻم  على اﻻقل هي فنانة غير خليعة وشريفة ليش متكتبون عن سخافة وخﻻعة ميريام فارس مثﻻ..احﻻم اشرف فنانة,N
,N
ههههههههه,N
"Arab idol من دون الفنانه والملكه احلام بالموسم الرابع رح يكون مو حلو 
وحتكون اللجنه ناقصه بدونها",N
لعما  شو بايخا  شو عرفك بلجنا,N
جيبولها كنتاكي لا تكوم تاكلنه ولا تزعلين عدمه بيزه تريدين🍕🍕🍕🍕😆,N
العما شقد بكرهك,P
احبك يا نانسي عجرم احبك موووت😘,N
احلام ما خلت ولا نجم بحاله,N
احلام فنانه طيبه ولاكن دائما تنتقد الناس ولهذا السبب تخلي الناس يكرهونها,N
عود هية ليش مكروهة اريد افتهم احد يكلي,N
"اللهم ثبتنا يوم تزل الاقدام خريجه شريعه وحافظه القران
يامقلب القلوب ثبت قلبي على دينك",N
الحمد لله ربي كرمنا بالعقل,N
احلام,N
قريت التعليقات والله عيب وحرام ماتعجبكم مامجبورين تطالعونها لويش هل غلط هاذي أخلاق مع أحتراماتي لايتعالج الغلط بلغلط الله يهديه والإنسان اليغلط يضر نفسه لايضر غيره انصحوا أفضل من الغلط لا صوته كولش حلو بس عيبه شويه عفويه والناس تكول عليه همجيه تنقصها الثقافه,N
احب انطي رايي بصراحه وبصدق على شنو الغيره احلام قد تكون عفويه على الفطره بس الناس ماترحم هيجي إنسان ومن داخلها إنسان بسيط وطيوبه الكلمه اللي في قلبها على لسانها لأتعرف التملق لكن ارجع الناس ماترحم هيجي انسان لازم تتغير اسلوبه الى متى تبقى هيجي ينقصها الاسلوب والتسرع وما أجرح اي انسان كائن من يكون وهيه حره بلبسه بتصرفاتها وارجع واقول ثروتها هيه سبب غيرة بعض الناس وتعرضها لنقد والحقد والحسد جائت ثروتها من تعبها وهيه بنت الخليج المدلله لكن ارجع وأقول على ماذا ملكه الصوت يوجد كثير من المطربات أحلى من صوتها انا أقول لثروتها صحيح صوتها جميل وانا احبه بس تنقصها الثقافه باسلوبها وبتصرفاتها صوت رياب الله يرحمها اجمل وأقوى من صوتها كلام الحق لايزعل السبب هيه ثروتكي يااحلام انتي ملكه فقط وراغب علامه فنان وله جمهوره وأقدم منكي حضورا وصوتا وثقافة فلماذا تحشرين انفكي بكل شيء وكأنك تعرفين كل شيء وتعرضين نفسكي لسخريه ولنقد كوني لطيفه وانيقه ليس بلبسكي بل بأسلوبكي اي شيء يطرأ على بالك.تقولينه او تفعلينه أحنه بزمان النقد لايسلم أحد من النقد الا تحذري؟؟؟؟؟؟؟,N
منقهرين من احلام طيب على تبن,N
".
انا ضد تصرفات احلام بس ليه اسب واشتم وفي النهاية سيئات ومحد درا عني 😂
ونسيتم اهم نقطة....الوسط الفني كله قذارة ووساخة",N
تضربي انت واللي غاير منك على شو بدن يغاروا على جمالا,N
احلام انتي من اجمل  الفنانات العرب واحبك مووووووت 💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋💋,N
أحلام وبس,N
انا مالي علاقه بالغناء وم اسمع الحمدلله لاكن الي م يحب شخص يتكلم فيه ويشتمه و يضره بكلامه اوغيره هاذا يدل على احترامك انت اذا كلامك محترم ونقدك فأنت شخص محترم اما إذا العكس فأنت شخص سيء اتمنى ان الشخص السيء يفكر مع نفسه ويقرر انت وش بتستفيد من كل ذا؟ بأختصاار جمعت ذنوب,N
احترمو نفسكم لا تعيبون ع احلام,N
مريضه جدااااااااااا👎👎👎👎,P
ههههههههه احجي عدل مو تعتعين بس اه اه اه اه شنووو اه احجي عدل ام غسل اله كضهه وجوياها لا تغارين عيوني روحي يم حديقه حيوانات  احسلج يا جكمه عيوني روحي تولي ام غسل اي ولللا 😕😕اوك روحي 👍,P
والله حرام تمساك مايك احلام,N
الفن رساله إنسانيه قبل ان يكون طربيه والدليل ان الفن يحتوي انواع عديده مثل الغناء والتمثيل ومهرجانات وسينما وغيرها ومن هنا الفنان بين حالتين اما واعي ومثقف حاله جيدا او وسط او بسيط ولكل فنان عليه واجبات وحدود للحديث مع الآخرين وخاصة الصحافه التي تمثل الجمهور وبالتالي هو الذي يقيم وللأسف الشديد تأثر الفن بالأحداث السياسيه مما أدى الى انسياق البعض الى التزمت ونسيان رسالته الحقيقيه الإنسانيه ونأمل وبكل حسن وصفاء نيه ان تعاد العلاقه الإنسانيه الجميله الذي تمتع بها جمهور كبير الى الواجهة وطئ صفحه من الماضي ونسيانها رغبة بالمحبه والاحترام المتبادل وحدوده,N
تصلي وتصوم وتقوم بالفرايض.  وتغني وترقص كيف افهمها.  ؟؟؟؟؟؟؟؟,N
اتوقع افضل بديل نوال الكويتية لازم يكون فرع خليجي بالارب أيدول,N
ايمت يطلع ارب ايدل 4,N
بلا قله حيااء انتوا وياه اللي تسب وتسوي حركاتت ممبزره ويعنني .,N
المشكله المشكله ان هي تسب من هب ودب  والا شفتو الفنانه  شمس قالت ماعندي مشكله معاها هي عنده مشكله معاي لانه طبعا هذه اخلاق المثقفين السب شي تخلف حتى ولو عندي مشكله مع الاخر,N
هههههههههههههههه فاشله,N
احسن,N
أحلام فنانة محترمة راقية,N
انا دراسة في كلية الشريعة الاسلامية وبقوم بكل الفرائض بصلي وصوم ههههه ضحكي على طفل عمرة سنتين بهاي,N
والله انها لمن تتكلم أنحرج😳😳😳,N
رح ازوع,N
اولا راغب علامة فنان متزن و المطربة احلام اللي اكيد هية عندها عفة وشرف لانها سترت نفسها وجلست في بيت زوجها وماعرضت نفسها حتى في غرفة نومها مشكلتها مع راغب وكل الشعوب الطيبة انهم لايدعمون داعش ولا ارهاب حكام الخليج اللذين غنت احلام لهم ان اسحقوا شعب اليمن وكل من يعارض سياسة ملوك البترول,N
فشختيني 😂😂😂😂 شو هاد هههههه عيب,N
والله حرم للي تحكي على  أحلام هي إنسانه محترمه  وبريئه,N
شنو هالغرور الملكة ملكة على روحهة مو على الناس اموت منهة ومن الخليج كلة,N
خلوا بالكم انه ليس من اخلاق الاسلام ولا المسلمين فضح اعراض الناس هذا ليس سهل عند الله وعليكم النصيحه بمواجهة من تحب فى منزله وبالقران فقط   وذكر بالقران ولست عليهم بمسيطر وايات كثيره تنبهنا لاتضع نفسك مكان الحكم العدل ولكن اعترض بدون ان تفضح اعراض احد بنشر فديوهات  لاء وانت مش دارى انت بتخلى كلنا نشوفها فيه ناس مش بتشوفها نصيحه لكن بتشوفها شهوه يبئا سيادتك ساعدت على نشر عوره  وتحريك شهوه وفضح عرض  احكم انت بنفسك على نفسك لو انت مسلم حق وليس شخص محرض على هدف معين غير دين الله واوعظهم بالموعظة الحسنه والموعظه الحسنه هى حسن الاخلاق فى النشر والكلام حتى لاتساعد على تشويه دين الله وتجعل ناس كتير تنفر من الدين الاسلامى هذه نصيحه من رجل انت متعلم احسن منى,N
,N
,N
,N
,N
ياخي نحن ما اختلفنا صوتها حلو لكن البنت نفسها متخلفه نفسيه عندها انفصام ف الشخصيه ومتكبره وشايفه نفسها,P
يوجد لدينا تقسيط جميع الاجهزةايفون- لابتوب-كميراءوكل الاجهزهللطلب 0533394524,N
لا ابوكم ولا ابو فنكم حنا وش دخلنا هل الفديو وانا ليش جيت وكيف وصلت هينا 😧,N
ويع على احلام اسكتي تره مو حلوه صوتج وشكلج,P
لك شنو هاي تحجي على راغب وهية متعرف نفسمة يمعودة دولي حاسبو نفسكم قبل ان تحاسبو راغب يسواج ويسوة عشرة مثلج,P
هيييية مجنووونة بس ع نيااااتهاااا,P
ههههههههههه 😂 😂,N
المرأة معروفه باصوتها الهادي,N
هههههه,N
بقاء أحلام في عرب ايدل يقلل من ذوق MBC,N
احلام اتريد تتنطرد من الفن بس متعرف اشلون,N
انتي واحده مغروره شايفه نفسك علي الفاضي,P
فديتك أحلام,N
انتي عندك مشاكلة مع نفسك عدى ناس هههه.يارب يسترنا من هاد المرض.,P
مسكينة احلام عاوزة تكون حاجة ومو عارفة كيف هلأ صارت ماتعرف تحكي عربي ع اساس هي فرنسية,N
كنتاكي😂😂😂😂😂خررررب👌🏻👌🏻😂😂,N
هههههههه ضحكتوني الي ضايج او زعلان او مهموم يشوف احلام وعنجد ينسى كل شي مضايقه,N
احلام وشمس والمعوقات فنيا مثلهم عار المجتمع العربي,P
هذي احلام فنانة وش ؟ وش تسوي بالضبط ؟ :|,N
احلام غيوره كتير بتصلي اىل,N
احلام غيوره كتير بتصلي اىل,N
احلام مغرورة,P
اقترح ان يتحول عنوان البرنامج الى (الطكاكة شو),N
عندما تقف الطكاكة احلام مع راغب علامة سنتذكر مسلسل (الوحشاء والحسن) ههههههههههههههههههه,P
حلو,N
مغرورة بحالا بس ع شو عليك وع منظرك,P
ههههههههه كبور,N
اريد اعرف شنو الي فرطتي بي ياله انطوج مقام ملكه هههههههه,P
"يا عيب الشوم عالفن لبدا تمثلو مجنوني متخلفة متل احلام 
فعلا شي مقرف ومعيب",P
ألي يحب الله لايك,N
"متناقضة بشكل فضيع ، وعندها صفاقة ما شفتها في بشر !!! كان الله في عون زوجها ...",P
"احلام مدرسه احلام ماده يجب ان تدرس 
هذه العملاقه هذه الاسطورة هذه الرقم الصعب في قلوب اعدائه
تخسؤن يولاد المتعه توصلون ماوصلت اليه",P
,N
,N
,N
,N
,N
,N
,N
,N
,N
8=====D kentaky,N
kentaky,N
ي كرهي لها والله مو غيره لا عليها ولا ع فلوسها بس كذه اكرهها من ربي والسلام عليكم ورحمه الله وبركاته #,P
هذه الملكه احلام وتستاهل اللقب,N
,N
حتة حكي مبتعرف تحكي,N
ههه شرشوحة,P
مسكينه هبله,P
��💋💋💋💋ان احب احلام,N
ههههه سينما بلاش,N
أحلام فنانة كبيرة ومن يتكلم عنها هم غبار على أقدامها,P
وش يقولونها باالعربي,N
,N
هيا هيا نشتري دجاج.........نأكل ونربيها للاحفاد.......... لكي نتجنب هذا الفساد........ونعيش بعيدا عن الاوغاد... بق بق بق بق بقاق غاق......هيا هيا ياطفال ياولاد.......هيا نشتري دجاج........ .ماطيب طعم الدجاج .........البيض المفقوص الطازج ........سنبيعه وسنصدر للخارج.......,N
"اللهم لا تجعلني من الذين شهدت عليهم اصابعهم،واجعلني من الذين شهدت لهم اصابعم ياارحم الراحمين",N
"مشكلتها اذا زعلت خبصت بالكلام...وسهل استفزازها!
وكلام متناقض وحش بالناس وكنتاكي وبرشلونه ومدريد!
الناس تحب تمصخر بعض ونتي معطيتهم جميع الفرص للمصخره بتصرفاتك هذي.",N
,N
,N
الحقيقة انا مابحب احلام دي ولا عمري هحبها هي مغرورة  بطريقة اوووفر ولا بحب طريقة كلامها تحس انها موش فاهمة حاجة من ال بتقولو واديكو شفتو الفيديو السابق وانا برايي هي ما تستحق تكون عضوة حاكمة ف برنامج عرب ايدول او اي برنامج حتي ...,N
مقطع فيديو متعوب عليه,N
اقسم بالله انها اجمل مطربه خليجيه على وجه الارض  اوانا من موعجبين احلام لانها بتجنن,N
,N
,N
,N
,N
,N
,N
"استغفر الله 
تنااقض تام ب اقولها ههههه",N
وحيات الله انا مش مسدقه كيف هاي الي اسمها احلام مغنيه لا محظر ولا منظر ولا صوت كيف صار هيك بفلويها ومجوهراتها عم تعطوها اهتمام !!!! نصيحتي الك احلام اتحجبي واعبدي ربك عشان اخرتك بلا تفاهات عم اظحكي العالم عليكي وانت بتمثلي انو شخصيتك قويه بس الحقيقه مبينه انو انت انتهيتي . فا الله يهديكي الشهره الكدابه عم تسقط مش ملااحظه هالشي .,N
ع شنو مغروره انتي لو حلوه مثل تفاحة العراق زهور علاء شسوين,N
منطقية جدا في لقاءتها,N
اضهرتم الحقد الدفين تجاه احلام,N
احﻻم احترمي نافسك,N
تصرفاتها كأنه مجنونه صحيح صوتها حلو بس شخصيتها غريبه ومكروها حيل والهذا الهجوم صاير عليها بفلس😂,P
اتركوها بحالها خلص افت يا,N
فش طريقة نخلص من هذا الوباء,N
,N
ياويلي من الغيره من احلام ذبحكم الحسد و الغيره منها يويو منكم الله يكفيها شر عيونكم,N
,N
,P
,N
,P
,N
,P
,N
,P
,N
,N
,P
,N
,N
,N
هل الفنانات ذبحتهم الغير والحسد من احلام ..,N
,N
اهم شي اسم النمسا ...,N
انا تعجبني إنجليزية وعربيتها المكسره اولي ابي شوز,N
,N
درويشه مسكينه,N
مادة دسمة انتم من يجعلها كماتصف القناة,N
احلام كواحه,N
اكرهج احلام 🙊,P
,N
احسن بلا قرف,P
شبه المراة اللي كانت تجي بتوم وجيري,N
خبله هاذي,P
والله حرام اضيع من وقتي حته لو ثواني ع هاي الخبله,P
,N
يقطع عمرك .,N
الحيا ما حد هو والله يستر,N
نسره,N
شكراً على الفديو... مضحك جدً والمحزن فيه ان زوجها يمشي وراءها و كانه عديم الارادة ... يبدو انه لاسلطه له عليها حتى  على الاقل ينصحها بالتصرف برقي أفضل والكف عن التصرف وكأنها أفضل من باقي البشر,N
"شكرا"" للوقت الذي امضيته في مشاهدة هذا الفيديو ولدعمك المتواصل للقناة
بما ان احلام مادة دسمة للنقد، اصدرت فيديو جديد شرف كبير لي ان تشاهده و تتشاركه مع اصدقائك
https://youtu.be/4Y7sT8-XoIA",N
,N
,N
,N
,N
,N
,N
,N
,N
,P
,N
,N
,N
مابيه شي هيه طبيعته,N
كبيره و جايحه  -_-,N
ههههههه شو بيقولها بالعربي,N
انا ماادري شلون عايش الخبل الهاجري....مع هالطقاقة احلام.......ههههههههههههههههههه.....,P
تستاهل,N
"تعاني من عقده 

    العبده",N
"أحلام... لا يوجد فيها بلاء  ، 
مشكلتها عفويه  _ والعفويه عندكم صارت مرض؟  👊💔",N
